"","id1","persons","v98_1","v98_2","persngrp","mailings","phongotv","ward","majpty1","majpty2","age1","age2","placebo","vote98","v98","cntany","pcntany","v96_1","v96_0","age","agemiss","agesq","majorpty","onetreat","onetreat_p"
"19932",16231,1,0,0,0,0,0,13,1,1,51,51,0,0,0,0,0,0,1,51,0,2601,1,1,1
"19933",6890,1,1,1,0,1,0,26,1,1,83,83,0,1,1,0,0,1,0,83,0,6889,1,1,1
"19934",4260,1,0,0,0,3,0,3,1,1,94,94,0,0,0,0,0,1,0,94,0,8836,1,1,1
"19935",4046,1,1,1,0,2,0,12,0,0,52,52,0,1,1,0,0,1,0,52,0,2704,0,1,1
"19936",22134,2,1,1,0,1,0,25,1,1,51,54,1,1,1,0,0,1,0,51,0,2601,1,0,1
"19937",19532,1,1,1,0,0,0,3,1,1,80,80,0,1,1,0,0,1,0,80,0,6400,1,1,1
"19938",13921,2,1,1,0,0,0,25,1,1,48,48,0,1,1,0,0,1,0,48,0,2304,1,1,1
"19939",15045,1,0,0,0,0,0,8,0,0,32,32,0,0,0,0,0,0,1,32,0,1024,0,1,1
"19940",13402,2,1,1,0,1,0,12,0,0,48,50,0,1,1,0,0,1,0,48,0,2304,0,1,1
"19941",21373,2,0,1,0,2,0,25,1,1,22,51,0,0,0,0,0,0,1,22,0,484,1,1,1
"19942",5769,1,1,1,0,0,0,11,1,1,62,62,0,1,1,0,0,1,0,62,0,3844,1,1,1
"19943",20418,2,0,1,0,0,0,17,1,1,999,42,0,0,0,0,0,1,0,0,1,0,1,1,1
"19944",15409,1,1,1,0,0,1,9,0,0,34,34,0,1,1,0,0,1,0,34,0,1156,0,1,1
"19945",6385,1,1,1,0,3,1,11,1,1,73,73,0,1,1,0,0,1,0,73,0,5329,1,0,0
"19946",17835,2,1,0,0,1,0,13,1,0,89,83,0,1,1,0,0,0,1,89,0,7921,1,1,1
"19947",10651,1,0,0,0,0,0,12,0,0,39,39,0,0,0,0,0,0,1,39,0,1521,0,1,1
"19948",1434,1,0,0,0,0,0,9,0,0,32,32,0,0,0,0,0,0,1,32,0,1024,0,1,1
"19949",22172,1,1,1,0,0,0,27,1,1,29,29,0,1,1,0,0,1,0,29,0,841,1,1,1
"19950",8730,1,0,0,0,0,0,18,0,0,43,43,0,0,0,0,0,1,0,43,0,1849,0,1,1
"19951",2508,1,1,1,0,0,0,27,1,1,57,57,0,1,1,0,0,1,0,57,0,3249,1,1,1
"19952",4367,2,1,0,0,2,0,18,1,1,56,56,0,1,1,0,0,1,0,56,0,3136,1,1,1
"19953",7938,2,1,1,0,0,0,10,1,1,57,59,0,1,1,0,0,1,0,57,0,3249,1,1,1
